"Genre","Decade","mode_char","mode","key","Artist","Song.Title","Year","Rank","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration","key_character"
"Country","60s","major",1,10,"Johnny Cash","A Boy Named Sue",1969,36,0.63,0.489,-12.144,0.18,0.77,0,0.381,0.796,101.876,4,3.89688333333333,"A#/Bb"
"Country","70s","major",1,2,"Jerry Reed","Amos Moses",1971,28,0.738,0.723,-10.356,0.0728,0.4,0.00134,0.0166,0.95,105.541,4,2.32045,"D"
"Country","90s","major",1,2,"LeAnn Rimes","How Do I Live",1998,5,0.577,0.462,-7.989,0.0279,0.128,0,0.0822,0.258,128.303,4,4.44955,"D"
"Country","70s","major",1,9,"Mac Davis","Baby, Don't Get Hooked on Me",1972,8,0.495,0.307,-18.168,0.0403,0.26,5.21e-05,0.103,0.802,80.97,4,3.06555,"A"
"Country","60s","major",1,11,"Roger Miller","King of the Road",1965,12,0.67,0.272,-13.699,0.0704,0.717,0,0.178,0.613,117.996,4,2.45511666666667,"B"
"Country","60s","major",1,7,"Hank Locklin","Please Help Me, I'm Falling",1960,47,0.557,0.388,-9.464,0.0259,0.731,0,0.306,0.504,107.951,4,2.41445,"G"
"Country","2010s","major",1,2,"Jason Aldean","Dirt Road Anthem",2011,43,0.68,0.741,-5.055,0.0357,0.347,1.87e-06,0.117,0.635,127.024,4,3.82333333333333,"D"
"Country","2010s","major",1,4,"The Band Perry","If I Die Young",2011,35,0.606,0.497,-6.611,0.0277,0.348,0,0.275,0.362,130.739,4,3.71288333333333,"E"
"Country","80s","minor",0,1,"Ronnie Milsap","(There's) No Gettin' Over Me",1981,33,0.595,0.447,-10.342,0.0323,0.627,0.000586,0.3,0.787,200.528,4,3.328,"C#/Db"
"Country","70s","major",1,5,"Kenny Rogers","Lucille",1977,43,0.646,0.362,-11.954,0.0312,0.724,0,0.134,0.387,142.46,3,3.68111666666667,"F/E#"
"Country","2020s","minor",0,4,"Zach Bryan","Something In The Orange",2022,41,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,3.80021666666667,"E"
"Country","70s","major",1,10,"Freddy Fender","Before the Next Teardrop Falls",1975,4,0.778,0.307,-9.356,0.0341,0.892,0.000287,0.0985,0.699,92.299,4,2.4992,"A#/Bb"
"Country","90s","major",1,8,"Sister Hazel","All for You",1997,36,0.633,0.754,-6.495,0.0382,0.0316,2.27e-05,0.091,0.641,137.047,4,3.64511666666667,"G#/Ab"
"Country","70s","major",1,0,"Glen Campbell","Rhinestone Cowboy",1975,2,0.644,0.633,-8.006,0.0261,0.102,6.82e-05,0.227,0.647,115.193,4,3.24088333333333,"C/B#"
"Country","2010s","major",1,7,"Taylor Swift","We Are Never Ever Getting Back Together",2012,33,0.628,0.676,-5.911,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,4,3.21911666666667,"G"
"Country","2010s","major",1,11,"Luke Combs","Beautiful Crazy",2019,46,0.551,0.402,-7.431,0.0262,0.676,0,0.0928,0.382,103.313,4,3.22,"B"
"Country","70s","major",1,7,"Kris Kristofferson","Why Me",1973,6,0.327,0.706,-5.924,0.0402,0.682,0.000236,0.733,0.563,82.834,3,4.68691666666667,"G"
"Country","2000s","major",1,10,"Taylor Swift","Teardrops on My Guitar",2008,48,0.621,0.417,-6.941,0.0231,0.288,0,0.119,0.289,99.953,4,3.384,"A#/Bb"
"Country","2000s","major",1,2,"Faith Hill","The Way You Love Me",2001,27,0.627,0.716,-7.175,0.0352,0.127,0,0.0344,0.734,101.99,4,3.10111666666667,"D"
"Country","70s","major",1,5,"Ray Stevens","Everything Is Beautiful",1970,12,0.37,0.378,-15.178,0.0369,0.514,0,0.222,0.722,112.159,4,3.54621666666667,"F/E#"
"Country","70s","major",1,9,"Mac Davis","One Hell of a Woman",1974,10,0.634,0.428,-16.536,0.0471,0.344,0.00253,0.0997,0.61,120.161,4,2.866,"A"
"Country","2020s","major",1,9,"Bailey Zimmerman","Fall In Love",2022,44,0.524,0.643,-6.055,0.0297,0.451,0,0.221,0.397,135.962,4,3.86765,"A"
"Country","2010s","major",1,1,"Dan + Shay","Speechless",2019,35,0.616,0.438,-5.968,0.0298,0.356,0,0.24,0.386,135.929,4,3.55645,"C#/Db"
"Country","60s","major",1,10,"Skeeter Davis","The End of the World",1963,2,0.232,0.216,-10.674,0.0314,0.936,4.93e-06,0.246,0.432,94.268,3,2.62621666666667,"A#/Bb"
"Country","2010s","minor",0,7,"Florida Georgia Line","H.O.L.Y.",2016,49,0.523,0.666,-4.081,0.0327,0.401,0,0.0728,0.564,78.077,4,3.23645,"G"
"Country","60s","major",1,7,"Bobby Goldsboro","Honey",1968,3,0.399,0.278,-13.122,0.0291,0.674,0.000694,0.203,0.597,93.189,4,3.97888333333333,"G"
"Country","2010s","major",1,1,"Lady Antebellum","Just a Kiss",2011,42,0.593,0.639,-5.826,0.0307,0.446,0,0.0998,0.332,142.881,4,3.64733333333333,"C#/Db"
"Country","70s","major",1,2,"Debby Boone","You Light Up My Life",1978,3,0.333,0.367,-10.06,0.0291,0.831,1.19e-05,0.262,0.0685,77.986,3,3.60478333333333,"D"
"Country","2000s","major",1,2,"Taylor Swift","Our Song",2008,41,0.668,0.672,-4.931,0.0303,0.111,0,0.329,0.539,89.011,4,3.35178333333333,"D"
"Country","2000s","minor",0,4,"Dixie Chicks","Landslide",2003,35,0.604,0.522,-9.612,0.0271,0.298,0.0533,0.092,0.337,146.007,4,3.7834,"E"
"Country","60s","major",1,9,"Floyd Cramer","On the Rebound",1961,29,0.535,0.683,-11.677,0.0334,0.371,0.0133,0.205,0.912,150.742,4,2.10178333333333,"A"
"Country","2020s","major",1,8,"Cole Swindell","She Had Me At Heads Carolina",2022,21,0.607,0.912,-3.449,0.0611,0.124,0,0.332,0.722,134.944,4,3.43511666666667,"G#/Ab"
