Artist,Song Title,Year,Rank,Genre,Decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Adele,Hello,2015,35,Pop,2010s,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,audio_features,62PaSfnXSMyLshYJrlTuL3,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4
Adele,Hello,2015,35,Pop,2010s,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,audio_features,62PaSfnXSMyLshYJrlTuL3,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4
Adele,Hello,2016,7,Pop,2010s,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,audio_features,62PaSfnXSMyLshYJrlTuL3,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4
Adele,Hello,2016,7,Pop,2010s,0.578,0.43,5,-6.134,0,0.0305,0.33,0,0.0854,0.288,78.991,audio_features,62PaSfnXSMyLshYJrlTuL3,spotify:track:62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/tracks/62PaSfnXSMyLshYJrlTuL3,https://api.spotify.com/v1/audio-analysis/62PaSfnXSMyLshYJrlTuL3,295502,4
Adele,Rolling in the Deep,2011,1,Pop,2010s,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,audio_features,1c8gk2PeTE04A1pIDH9YMk,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/tracks/1c8gk2PeTE04A1pIDH9YMk,https://api.spotify.com/v1/audio-analysis/1c8gk2PeTE04A1pIDH9YMk,228093,4
Adele,Send My Love (To Your New Lover),2016,26,Pop,2010s,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-6,0.172,0.567,164.069,audio_features,0t7fVeEJxO2Xi4H2K5Svc9,spotify:track:0t7fVeEJxO2Xi4H2K5Svc9,https://api.spotify.com/v1/tracks/0t7fVeEJxO2Xi4H2K5Svc9,https://api.spotify.com/v1/audio-analysis/0t7fVeEJxO2Xi4H2K5Svc9,223079,4
Adele,Set Fire to the Rain,2012,12,Pop,2010s,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-6,0.112,0.446,107.993,audio_features,73CMRj62VK8nUS4ezD2wvi,spotify:track:73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/tracks/73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/audio-analysis/73CMRj62VK8nUS4ezD2wvi,242974,4
Adele,Someone like You,2012,43,Pop,2010s,0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4
Adele,Someone Like You,2011,24,Pop,2010s,0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240,4
Adina Howard,Freak Like Me,1995,13,R&B/Soul,90s,0.655,0.837,11,-6.04,0,0.0723,0.0262,5.85e-6,0.0454,0.66,91.014,audio_features,6Vas6h9lB5mmeVDXdFqlQA,spotify:track:6Vas6h9lB5mmeVDXdFqlQA,https://api.spotify.com/v1/tracks/6Vas6h9lB5mmeVDXdFqlQA,https://api.spotify.com/v1/audio-analysis/6Vas6h9lB5mmeVDXdFqlQA,253613,4
