,Artist Name,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
144,Charli XCX,Boom Clap,0.659,0.911,4.0,-2.28,1.0,0.0786,0.154,0.000304,0.191,0.576,91.999,audio_features,0Y1MWB026LYxGvhq4EcMiC,spotify:track:0Y1MWB026LYxGvhq4EcMiC,https://api.spotify.com/v1/tracks/0Y1MWB026LYxGvhq4EcMiC,https://api.spotify.com/v1/audio-analysis/0Y1MWB026LYxGvhq4EcMiC,169866.0,4.0
145,Nicki Minaj,Anaconda,0.963,0.603,2.0,-6.224,1.0,0.18,0.0673,5.93e-06,0.214,0.647,129.99,audio_features,6Qz978PUdHxu4iGQhjLvJH,spotify:track:6Qz978PUdHxu4iGQhjLvJH,https://api.spotify.com/v1/tracks/6Qz978PUdHxu4iGQhjLvJH,https://api.spotify.com/v1/audio-analysis/6Qz978PUdHxu4iGQhjLvJH,260240.0,4.0
146,Ellie Goulding,Burn,0.559,0.777,1.0,-5.031,1.0,0.0432,0.31,0.0,0.105,0.329,87.016,audio_features,0xMd5bcWTbyXS7wPrBtZA6,spotify:track:0xMd5bcWTbyXS7wPrBtZA6,https://api.spotify.com/v1/tracks/0xMd5bcWTbyXS7wPrBtZA6,https://api.spotify.com/v1/audio-analysis/0xMd5bcWTbyXS7wPrBtZA6,231212.0,4.0
147,Miley Cyrus,Wrecking Ball,0.53,0.422,5.0,-6.262,1.0,0.0342,0.407,0.0,0.107,0.349,119.964,audio_features,2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/tracks/2vwlzO0Qp8kfEtzTsCXfyE,https://api.spotify.com/v1/audio-analysis/2vwlzO0Qp8kfEtzTsCXfyE,221360.0,4.0
148,Justin Timberlake,Not a Bad Thing,0.308,0.563,0.0,-9.169,1.0,0.0719,0.527,4.58e-06,0.134,0.109,85.901,audio_features,3nB82yGjtbQFSU0JLAwLRH,spotify:track:3nB82yGjtbQFSU0JLAwLRH,https://api.spotify.com/v1/tracks/3nB82yGjtbQFSU0JLAwLRH,https://api.spotify.com/v1/audio-analysis/3nB82yGjtbQFSU0JLAwLRH,688453.0,4.0
149,Katy Perry,Roar,0.671,0.771,7.0,-4.821,0.0,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,audio_features,27tNWlhdAryQY04Gb2ZhUI,spotify:track:27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/tracks/27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/audio-analysis/27tNWlhdAryQY04Gb2ZhUI,223546.0,4.0
150,Aloe Blacc,The Man,0.308,0.769,11.0,-7.256,0.0,0.065,0.0331,0.0,0.214,0.488,81.853,audio_features,2stPxcgjdSImK7Gizl8ZUN,spotify:track:2stPxcgjdSImK7Gizl8ZUN,https://api.spotify.com/v1/tracks/2stPxcgjdSImK7Gizl8ZUN,https://api.spotify.com/v1/audio-analysis/2stPxcgjdSImK7Gizl8ZUN,254880.0,4.0
151,MKTO,Classic,0.72,0.791,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.756,102.071,audio_features,6FE2iI43OZnszFLuLtvvmg,spotify:track:6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/tracks/6FE2iI43OZnszFLuLtvvmg,https://api.spotify.com/v1/audio-analysis/6FE2iI43OZnszFLuLtvvmg,175427.0,4.0
152,Ed Sheeran,Thinking Out Loud,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560.0,4.0
153,Fetty Wap,Trap Queen,0.746,0.873,7.0,-3.803,1.0,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093.0,4.0
